date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:55	75605/75605	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2020:30:28%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/index.html	(from )
20:07:55	115/115	---M-Z	200	added ('OK')	text/plain	etag:%222202-1728469236;gz%22	https://nextgenerationdev.com/robots.txt		(from )
20:07:55	1209/1209	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202023%2000:25:10%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/img/favicon/favicon.png	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/img/favicon/favicon.png	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:55	155874/155874	---M-Z	200	added ('OK')	text/css	date:Sat,%2027%20Aug%202022%2020:13:42%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/css/bootstrap.min.css	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/css/bootstrap.min.css	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:56	3434/3434	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20May%202022%2005:28:16%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/css/odometer.css	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/css/odometer.css	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:56	4332/4332	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202022%2016:58:52%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/css/owl.min.css	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/css/owl.min.css	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:56	1013/1013	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2018:22:10%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/css/owl.theme.default.min.css	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/css/owl.theme.default.min.css	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:56	492093/492093	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2027%20Aug%202022%2022:30:42%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/css/bootstrap.css.map	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/css/bootstrap.css.map	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:56	101709/101709	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2020:21:36%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/css/all.min.css	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/css/all.min.css	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:57	57095/57095	---M-Z	200	added ('OK')	text/css	date:Sat,%2027%20Aug%202022%2020:13:42%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/css/animate.css	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/css/animate.css	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:57	4007/4007	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Sep%202022%2000:12:14%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/css/nice-select.css	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/css/nice-select.css	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:57	7300/7300	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202023%2020:33:02%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/css/magnific-popup.css	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/css/magnific-popup.css	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:57	78798/78798	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202023%2020:51:54%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/css/main.css	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/css/main.css	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:58	75605/75605	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2020:30:28%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/index.html	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/index-2.html	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:58	4778/4778	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jan%202023%2022:03:46%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/assets/img/logo/logo2.png	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/assets/img/logo/logo2.png	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:58	56564/56564	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2020:30:12%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/home.html	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/home.html	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:58	56510/56510	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2020:31:53%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/sharp-home.html	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/sharp-home.html	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:59	61365/61365	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2020:29:03%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/about.html	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/about.html	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:59	51313/51313	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2020:30:44%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/pricing.html	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/pricing.html	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:59	70858/70858	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2020:31:01%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/resserler.html	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/resserler.html	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:07:59	64456/64456	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2020:32:08%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/vpshost.html	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/vpshost.html	(from https://nextgenerationdev.com/demos/html/atos/atos/)
20:08:00	62792/62792	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2020:31:37%20GMT	https://nextgenerationdev.com/demos/html/atos/atos/sharehost.html	C:/Users/CFK%20GROUP%2010/Desktop/Monster/nextgenerationdev.com/demos/html/atos/atos/sharehost.html	(from https://nextgenerationdev.com/demos/html/atos/atos/)
